genomes,primary_dbxref,displayname,uniquename,stx1_subtype,stx2_subtype,isolation_host,strain,serotype,isolation_date,isolation_source,syndrome,isolation_location
public_2712865,genbank: APYU00000000.1,P0301867.3,P0301867.3,undefined,undefined,Homo sapiens (human),P0301867.3,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2736194,genbank: AQDX00000000.1,2762100,2762100,undefined,undefined,Homo sapiens (human),2762100,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2822503,genbank: JHLT00000000.1,O121:H19 Str. 2011C-3500,O121:H19 Str. 2011C-3500,undefined,2a,undefined,2011C-3500,O121:H19,undefined,undefined,undefined,United States
public_2773123,genbank: CAOT00000000.1,O157:H7 Str. H093800014,O157:H7 Str. H093800014,undefined,undefined,undefined,H093800014,O157:H7,undefined,Blood,undefined,undefined
public_2881728,genbank: JOSQ00000000.1,8-415-05_S1_C2,8-415-05_S1_C2,undefined,undefined,Homo sapiens (human),8-415-05_S1_C2,undefined,2009-01-28,Stool,undefined,Tanzania
public_2610620,genbank: AJVS00000000.1,O111:H11 Str. CVM9534,O111:H11 Str. CVM9534,1a,undefined,Bos taurus (cow),CVM9534,O111:H11,1988-01-01,undefined,undefined,undefined
public_2574404,genbank: AFVB00000000.1,O104:H4 Str. 11-4632 C2,O104:H4 Str. 11-4632 C2,undefined,2a,undefined,11-4632 C2,O104:H4,undefined,undefined,undefined,undefined
public_2682701,genbank: ANUN00000000.1,KTE72,KTE72,undefined,undefined,Homo sapiens (human),KTE72,undefined,2010-01-01,undefined,undefined,Denmark
public_2865607,genbank: JNRF00000000.1,2-460-02_S4_C3,2-460-02_S4_C3,undefined,undefined,Homo sapiens (human),2-460-02_S4_C3,undefined,2009-07-15,Stool,undefined,Tanzania
public_2847233,genbank: JMVE00000000.1,BIDMC 72,BIDMC 72,undefined,undefined,Homo sapiens (human),BIDMC 72,undefined,2013-01-01,Urine,undefined,"Boston, MA, USA"
public_2682495,genbank: ANUI00000000.1,KTE58,KTE58,undefined,undefined,Homo sapiens (human),KTE58,undefined,2010-01-01,undefined,undefined,Denmark
public_2786428,genbank: CP001164.1,O157:H7 Str. EC4115,O157:H7 Str. EC4115,undefined,2a,undefined,EC4115,O157:H7,undefined,undefined,undefined,undefined
public_2840547,genbank: JJMC00000000.1,2-005-03_S1_C2,2-005-03_S1_C2,undefined,undefined,Homo sapiens (human),2-005-03_S1_C2,undefined,2009-01-23,Stool,undefined,Tanzania
public_2604451,genbank: AIFB00000000.1,DEC2C,DEC2C,undefined,undefined,Homo sapiens (human),DEC2C,O55:H6,1954-01-01,undefined,undefined,"Pennsylvania, USA"
public_2737754,genbank: AQEG00000000.1,180600,180600,undefined,undefined,Homo sapiens (human),180600,undefined,undefined,Stool,undefined,Bangladesh
public_2797579,genbank: JHGD00000000.1,O157:H7 Str. 2009EL1913,O157:H7 Str. 2009EL1913,undefined,undefined,undefined,2009EL1913,O157:H7,undefined,undefined,undefined,United States
public_2578501,genbank: AFWP00000000.1,O104:H4 Str. GOS2,O104:H4 Str. GOS2,undefined,2a,Homo sapiens (human),GOS2,O104:H4,2011-06-02,Stool,Bloody diarrhea,undefined
public_2685148,genbank: ANXF00000000.1,KTE215,KTE215,undefined,undefined,Homo sapiens (human),KTE215,undefined,2010-01-01,undefined,undefined,undefined
public_2685057,genbank: ANXC00000000.1,KTE207,KTE207,undefined,undefined,Homo sapiens (human),KTE207,undefined,2010-01-01,undefined,undefined,undefined
public_2869270,genbank: JNRZ00000000.1,3-073-06_S4_C3,3-073-06_S4_C3,undefined,undefined,Homo sapiens (human),3-073-06_S4_C3,undefined,2009-07-09,Stool,undefined,Tanzania
public_2578292,genbank: AFWO00000000.1,O104:H4 Str. GOS1,O104:H4 Str. GOS1,undefined,2a,Homo sapiens (human),GOS1,O104:H4,2011-06-02,Stool,Bloody diarrhea,undefined
public_2574571,genbank: AFVE00000000.1,O104:H4 Str. 11-4632 C5,O104:H4 Str. 11-4632 C5,undefined,2a,undefined,11-4632 C5,O104:H4,undefined,undefined,undefined,undefined
public_2684234,genbank: ANWF00000000.1,KTE118,KTE118,undefined,undefined,Homo sapiens (human),KTE118,undefined,2010-01-01,undefined,undefined,Denmark
public_2869726,genbank: JNSB00000000.1,3-105-05_S1_C3,3-105-05_S1_C3,undefined,undefined,Homo sapiens (human),3-105-05_S1_C3,undefined,2009-01-17,Stool,undefined,Tanzania
public_2688564,genbank: AOEK00000000.1,PA13,PA13,undefined,undefined,Homo sapiens (human),PA13,O157:H7,2007-01-01,undefined,undefined,United States
public_2786516,genbank: JASP00000000.1,O118:H16 Str. 07-4255,O118:H16 Str. 07-4255,1a,undefined,Homo sapiens (human),07-4255,O118:H16,undefined,undefined,undefined,United States
public_2597951,genbank: AIBO00000000.1,C751_03,C751_03,undefined,undefined,Homo sapiens (human),C751_03,undefined,undefined,Stool,undefined,Austria
public_2877077,genbank: JORM00000000.1,6-319-05_S3_C3,6-319-05_S3_C3,undefined,undefined,Homo sapiens (human),6-319-05_S3_C3,undefined,2009-04-15,Stool,undefined,Tanzania
public_2839813,genbank: JJLX00000000.1,1-182-04_S1_C3,1-182-04_S1_C3,undefined,undefined,Homo sapiens (human),1-182-04_S1_C3,undefined,2009-01-13,Stool,undefined,Tanzania
public_2748745,genbank: AUZS00000000.1,O6:H16:CFA/II Str. B2C,O6:H16:CFA/II Str. B2C,undefined,undefined,Homo sapiens (human),B2C,O6:H16:CFA/II,1984-01-01,patient with travellers diarhhea,undefined,undefined
public_2817063,genbank: JHKR00000000.1,O157:H7 Str. 2011EL-2103,O157:H7 Str. 2011EL-2103,undefined,2c,undefined,2011EL-2103,O157:H7,undefined,undefined,undefined,United States
public_2724423,genbank: AQBA00000000.1,P0304816.3,P0304816.3,undefined,undefined,Homo sapiens (human),P0304816.3,undefined,undefined,Stool,undefined,Bangladesh
public_2616465,genbank: AKAV00000000.1,O111:H8 Str. CVM9602,O111:H8 Str. CVM9602,1a,undefined,Homo sapiens (human),CVM9602,O111:H8,1996-01-01,undefined,undefined,undefined
public_2701185,genbank: APNY00000000.1,HM46,HM46,undefined,undefined,Homo sapiens (human),HM46,undefined,2012-01-01,Urine,undefined,"Michigan, USA"
public_2827913,genbank: JHMT00000000.1,O111:NM Str. 2010C-4746,O111:NM Str. 2010C-4746,1a,2a,undefined,2010C-4746,O111:NM,undefined,undefined,undefined,United States
public_2608536,genbank: AIHF00000000.1,DEC13A,DEC13A,undefined,undefined,Homo sapiens (human),DEC13A,O128:H7,1973-01-01,undefined,undefined,"Texas, USA"
public_2756341,genbank: AXOE00000000.1,GSK2024,GSK2024,undefined,undefined,Homo sapiens (human),GSK2024,undefined,2011-01-01,Blood,undefined,Spain
public_2724601,genbank: AQBB00000000.1,P0304816.4,P0304816.4,undefined,undefined,Homo sapiens (human),P0304816.4,undefined,undefined,Stool,undefined,Bangladesh
public_2559211,genbank: ADUA00000000.1,MS 16-3,MS 16-3,undefined,undefined,Homo sapiens (human),MS 16-3,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2849108,genbank: JNME00000000.1,3-267-03_S1_C3,3-267-03_S1_C3,undefined,undefined,Homo sapiens (human),3-267-03_S1_C3,undefined,2009-01-16,Stool,undefined,Tanzania
public_2603338,genbank: AICF00000000.1,C166_11,C166_11,undefined,undefined,Homo sapiens (human),C1214_90,undefined,undefined,Stool,undefined,Denmark
public_2747949,genbank: ATOF00000000.1,112469215-isolate1,112469215-isolate1,undefined,undefined,Homo sapiens (human),112469215-isolate1,undefined,undefined,Stool,Bacteremia,"Missouri, USA"
public_2589500,genbank: AIAO00000000.1,C260_92,C260_92,undefined,undefined,Homo sapiens (human),C260_92,undefined,undefined,Stool,undefined,Italy
public_2731357,genbank: AQCT00000000.1,MP021017.2,MP021017.2,undefined,undefined,Homo sapiens (human),MP021017.2,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2786608,genbank: JASV00000000.1,O121:H19 Str. 2011C-3609,O121:H19 Str. 2011C-3609,undefined,2a,Homo sapiens (human),2011C-3609,O121:H19,undefined,undefined,undefined,United States
public_2880855,genbank: JOSM00000000.1,2-222-05_S3_C1,2-222-05_S3_C1,undefined,undefined,Homo sapiens (human),2-222-05_S3_C1,undefined,2009-04-23,Stool,undefined,Tanzania
public_2754498,genbank: AVSN00000000.1,Tx1686,Tx1686,undefined,2c,Bos taurus (cow),Tx1686,O157:H7,2012-01-27,undefined,undefined,"Texas, USA"
public_2874791,genbank: JOQY00000000.1,5-366-08_S3_C1,5-366-08_S3_C1,undefined,undefined,Homo sapiens (human),5-366-08_S3_C1,undefined,2009-04-22,Stool,undefined,Tanzania
public_2681356,genbank: ANTN00000000.1,KTE210,KTE210,undefined,undefined,Homo sapiens (human),KTE210,undefined,2010-01-01,undefined,undefined,undefined
public_2588697,genbank: AIAL00000000.1,C213_10,C213_10,undefined,undefined,Homo sapiens (human),C213_10,undefined,undefined,Stool,undefined,Denmark
public_2809725,genbank: JHJB00000000.1,O157:H7 Str. K1795,O157:H7 Str. K1795,undefined,2a,undefined,K1795,O157:H7,undefined,undefined,undefined,United States
public_2549455,genbank: AAJU00000000.2,F11,F11,undefined,undefined,undefined,F11,O6:H31,undefined,undefined,undefined,undefined
public_2724771,genbank: AQBC00000000.1,P0304816.5,P0304816.5,undefined,undefined,Homo sapiens (human),P0304816.5,undefined,undefined,Stool,undefined,Bangladesh
public_2653780,genbank: AMUE00000000.1,TT12B,TT12B,undefined,undefined,Homo sapiens (human),TT12B,O157:H7,1994-01-01,undefined,undefined,Japan
public_2694226,genbank: AOQR00000000.1,TOP2396-2,TOP2396-2,undefined,undefined,Homo sapiens (human),TOP2396-2,undefined,2005-03-03,Stool,undefined,"Seattle, WA, USA"
public_2895760,genbank: JQFI00000000.1,K1 (2895760),K1 (2895760),undefined,undefined,undefined,947,undefined,2007-01-01,Enteral feeding tube,undefined,"Nottingham, Nottingham, UK"
public_2801229,genbank: JHGW00000000.1,O91:NM Str. 2009C-3745,O91:NM Str. 2009C-3745,multiple,undefined,undefined,2009C-3745,O91:NM,undefined,undefined,undefined,United States
public_2658093,genbank: AMUP00000000.1,07798,07798,undefined,undefined,Homo sapiens (human),7798,O157:H39,undefined,undefined,undefined,Argentina
public_2691071,genbank: AOQC00000000.1,TOP382-1,TOP382-1,undefined,undefined,Homo sapiens (human),TOP382-1,undefined,2003-04-15,Stool,undefined,"Seattle, WA, USA"
public_2615747,genbank: AJWT00000000.1,75,75,undefined,undefined,Homo sapiens (human),75,undefined,2006-01-01,Ileum,undefined,United States
public_2611180,genbank: AJVT00000000.1,O111:H11 Str. CVM9545,O111:H11 Str. CVM9545,1a,undefined,Bos taurus (cow),CVM9545,O111:H11,1988-01-01,undefined,undefined,undefined
public_2868431,genbank: JNRV00000000.1,3-073-06_S1_C2,3-073-06_S1_C2,undefined,undefined,Homo sapiens (human),3-073-06_S1_C2,undefined,2009-01-17,Stool,undefined,Tanzania
public_2690674,genbank: AOGN00000000.1,S17,S17,undefined,undefined,Gallus gallus (chicken),S17,O113:H4,1994-03-01,Liver,undefined,Brazil
public_2764796,genbank: AXUK00000000.1,909945-2,909945-2,undefined,undefined,Homo sapiens (human),909945-2,undefined,undefined,undefined,undefined,undefined
public_2571464,genbank: AFOB00000000.2,O104:H4 Str. LB226692,O104:H4 Str. LB226692,undefined,2a,Homo sapiens (human),LB226692,O104:H4,2011-05-20,Stool,Hemolytic-uremic syndrome,Germany
public_2863778,genbank: JNQV00000000.1,2-427-07_S1_C1,2-427-07_S1_C1,undefined,undefined,Homo sapiens (human),2-427-07_S1_C1,undefined,2009-01-23,Stool,undefined,Tanzania
public_2605467,genbank: AIFO00000000.1,DEC4E,DEC4E,1a,undefined,Homo sapiens (human),DEC4E,O157:H7,1988-01-01,undefined,undefined,Denmark
public_2777496,genbank: CCPP00000000.1,NA Str. E. coli,NA Str. E. coli,undefined,2d,Homo sapiens (human),29755,NA,2011-05-05,Stool,undefined,Norway
public_2846782,genbank: JMJE00000000.1,UCD_JA69_pb,UCD_JA69_pb,undefined,undefined,Homo sapiens (human),UCD_JA69_pb,undefined,2013-01-01,Blood,undefined,"Davis, CA, USA"
public_2687143,genbank: AOED00000000.1,99.1753,99.1753,1a,2a,Homo sapiens (human),99.1753,O157:H7,1999-01-01,undefined,undefined,United States
public_2788936,genbank: JFFN00000000.1,UCD_JA65,UCD_JA65,undefined,undefined,Homo sapiens (human),UCD_JA65,undefined,2013-01-01,Blood,undefined,"UC Davis Medical Center, 2315 Stockton Boulevard, Sacramento, CA 95817, USA"
public_2758361,genbank: AXTJ00000000.1,907889,907889,undefined,undefined,Homo sapiens (human),907889,undefined,undefined,undefined,undefined,undefined
public_2773863,genbank: CBFX000000000.1,CAG:4,CAG:4,undefined,undefined,Homo sapiens (human),undefined,undefined,undefined,derived from human gut metagenome,undefined,undefined
public_2775373,genbank: CBWH000000000.1,IS29,IS29,undefined,undefined,undefined,IS29,undefined,undefined,Blood,undefined,"Vienna, Austria"
public_2567726,genbank: ADWQ00000000.1,MS 85-1,MS 85-1,undefined,undefined,Homo sapiens (human),MS 85-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2882604,genbank: JOSU00000000.1,2-460-02_S1_C2,2-460-02_S1_C2,undefined,undefined,Homo sapiens (human),2-460-02_S1_C2,undefined,2009-01-23,Stool,undefined,Tanzania
public_2717719,genbank: APZP00000000.1,P0298942.4,P0298942.4,undefined,undefined,Homo sapiens (human),P0298942.4,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2588102,genbank: AIAJ00000000.1,C170_11,C170_11,undefined,undefined,Homo sapiens (human),C170_11,undefined,undefined,Stool,undefined,Denmark
public_2719395,genbank: APZY00000000.1,P0305260.2,P0305260.2,undefined,undefined,Homo sapiens (human),P0305260.2,undefined,undefined,Stool,undefined,Bangladesh
public_2811213,genbank: JHJL00000000.1,O157:H7 Str. F7384,O157:H7 Str. F7384,undefined,2a,undefined,F7384,O157:H7,undefined,undefined,undefined,United States
public_2784631,genbank: CCRA00000000.1,NA Str. E. coli (2784631),NA Str. E. coli (2784631),undefined,2a,Homo sapiens (human),29755,NA,2009-08-14,Stool,undefined,Norway
public_2608740,genbank: AIHJ00000000.1,DEC13E,DEC13E,undefined,undefined,Homo sapiens (human),DEC13E,O128:H47,1981-01-01,undefined,undefined,"South Carolina, USA"
public_2737905,genbank: AQEH00000000.1,180050,180050,undefined,undefined,Homo sapiens (human),180050,undefined,undefined,Stool,undefined,Bangladesh
public_2860775,genbank: JNQB00000000.1,1-250-04_S1_C1,1-250-04_S1_C1,undefined,undefined,Homo sapiens (human),1-250-04_S1_C1,undefined,2009-01-12,Stool,undefined,Tanzania
public_2796246,genbank: JHFW00000000.1,O145:NM Str. 2010C-3507,O145:NM Str. 2010C-3507,undefined,2a,undefined,2010C-3507,O145:NM,undefined,undefined,undefined,United States
public_2882777,genbank: JPQG00000000.1,48,48,multiple,undefined,Odocoileus sp. (deer),48,undefined,2011-06-01,Stool,undefined,Switzerland
public_2784140,genbank: CCQY00000000.1,117 Str. E. coli (2784140),117 Str. E. coli (2784140),1a,undefined,Homo sapiens (human),29755,117,2010-12-08,Stool,undefined,Norway
public_2839336,genbank: JJLV00000000.1,1-182-04_S3_C1,1-182-04_S3_C1,undefined,undefined,Homo sapiens (human),1-182-04_S3_C1,undefined,2009-04-11,Stool,undefined,Tanzania
public_2799946,genbank: JHGQ00000000.1,O157:H7 Str. 2009C-4258,O157:H7 Str. 2009C-4258,undefined,2c,undefined,2009C-4258,O157:H7,undefined,undefined,undefined,United States
public_2683261,genbank: ANUY00000000.1,KTE116,KTE116,undefined,undefined,Homo sapiens (human),KTE116,undefined,2010-01-01,undefined,undefined,Denmark
public_2550204,genbank: ABHL00000000.2,O157:H7 Str. EC4045,O157:H7 Str. EC4045,undefined,2a,undefined,EC4045,O157:H7,undefined,undefined,undefined,undefined
public_2805832,genbank: JHHU00000000.1,O111:NM Str. K6722,O111:NM Str. K6722,1a,2a,undefined,K6722,O111:NM,undefined,undefined,undefined,United States
public_2823594,genbank: JHLY00000000.1,O26:H11 Str. 2011C-3270,O26:H11 Str. 2011C-3270,1a,undefined,undefined,2011C-3270,O26:H11,undefined,undefined,undefined,United States
public_2644675,genbank: AMTH00000000.1,8.0569,8.0569,undefined,undefined,Environmental source,8.0569,O157:H7,2008-01-01,Meat-based food,undefined,United States
public_2608258,genbank: AIHC00000000.1,DEC12C,DEC12C,undefined,undefined,Homo sapiens (human),DEC12C,O111:NM,1967-01-01,undefined,undefined,Panama
public_2833720,genbank: JHNY00000000.1,O28ac:NM Str. 02-3404,O28ac:NM Str. 02-3404,undefined,undefined,undefined,02-3404,O28ac:NM,undefined,undefined,undefined,United States
public_2793278,genbank: JHFF00000000.1,O111:NM Str. 2010C-4086,O111:NM Str. 2010C-4086,1a,2a,undefined,2010C-4086,O111:NM,undefined,undefined,undefined,United States
public_2750164,genbank: AVRD00000000.1,B7-2,B7-2,undefined,2a,Homo sapiens (human),B7-2,O157:H7,2000-01-01,undefined,undefined,"Washington, DC, USA"
public_2558315,genbank: ADTY00000000.1,MS 78-1,MS 78-1,undefined,undefined,Homo sapiens (human),MS 78-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2848043,genbank: JNBX00000000.1,W25K,W25K,undefined,undefined,Sus scrofa (pig),W25K,undefined,2011-01-01,Stool,undefined,China
public_2683466,genbank: ANVB00000000.1,KTE143,KTE143,undefined,undefined,Homo sapiens (human),KTE143,undefined,2010-01-01,undefined,undefined,Denmark
public_2682738,genbank: ANUO00000000.1,KTE75,KTE75,undefined,undefined,Homo sapiens (human),KTE75,undefined,2010-01-01,undefined,undefined,Denmark
public_2565463,genbank: ADVB00000000.1,O157:H7 Str. EC4205,O157:H7 Str. EC4205,undefined,undefined,Homo sapiens (human),EC4205,O157:H7,2006-01-01,Vegetable-based food,undefined,"California, USA"
public_2837887,genbank: JJLO00000000.1,1-250-04_S4_C1,1-250-04_S4_C1,undefined,undefined,Homo sapiens (human),1-250-04_S4_C1,undefined,2009-07-04,Stool,undefined,Tanzania
public_2749681,genbank: AVQX00000000.1,B28-2,B28-2,undefined,2a,Homo sapiens (human),B28-2,O157:H7,2000-01-01,undefined,undefined,"Washington, DC, USA"
public_2595108,genbank: AIBE00000000.1,C581_05,C581_05,undefined,undefined,Homo sapiens (human),C581_05,undefined,undefined,Africa,undefined,undefined
public_2809925,genbank: JHJD00000000.1,O157:H7 Str. K1792,O157:H7 Str. K1792,undefined,undefined,undefined,K1792,O157:H7,undefined,undefined,undefined,United States
public_2797248,genbank: JHGB00000000.1,O111:H8 Str. 2009EL-2169,O111:H8 Str. 2009EL-2169,1a,undefined,undefined,2009EL-2169,O111:H8,undefined,undefined,undefined,United States
public_2732314,genbank: AQCX00000000.1,C-34666,C-34666,undefined,undefined,Homo sapiens (human),C-34666,undefined,undefined,Stool,undefined,Bangladesh
public_2679955,genbank: ANMD00000000.1,99.0672,99.0672,undefined,2c,Bos taurus (cow),99.0672,O157:H7,1999-01-01,undefined,undefined,United States
public_2574092,genbank: AFSO00000000.1,O104:H4 Str. H112180282,O104:H4 Str. H112180282,undefined,2a,Homo sapiens (human),H112180282,O104:H4,2011-05-01,Stool,Hemolytic-uremic syndrome,United Kingdom
public_2700599,genbank: APNU00000000.1,HM27,HM27,undefined,undefined,Homo sapiens (human),HM27,undefined,2012-01-01,Urine,undefined,"Michigan, USA"
public_2869914,genbank: JOMS00000000.1,6-175-07_S1_C2,6-175-07_S1_C2,undefined,undefined,Homo sapiens (human),6-175-07_S1_C2,undefined,2009-01-15,Stool,undefined,Tanzania
public_2549575,genbank: AAJV00000000.2,E22,E22,undefined,undefined,undefined,E22,O103:H2,undefined,undefined,Hemolytic-uremic syndrome,undefined
public_2776120,genbank: CBWT000000000.1,ISC56,ISC56,undefined,undefined,undefined,ISC56,undefined,undefined,Blood,undefined,"Vienna, Austria"
public_2746973,genbank: ATOB00000000.1,AB42602061-isolate1,AB42602061-isolate1,undefined,undefined,Homo sapiens (human),AB42602061-isolate1,undefined,undefined,Stool,Bacteremia,"Missouri, USA"
public_2594218,genbank: AIBB00000000.1,C496_10,C496_10,undefined,undefined,Homo sapiens (human),C496_10,undefined,undefined,Stool,undefined,Denmark
public_2838159,genbank: JJLQ00000000.1,1-176-05_S4_C1,1-176-05_S4_C1,undefined,undefined,Homo sapiens (human),1-176-05_S4_C1,undefined,2009-07-03,Stool,undefined,Tanzania
public_2731217,genbank: AQCS00000000.1,MP021017.3,MP021017.3,undefined,undefined,Homo sapiens (human),MP021017.3,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2786568,genbank: JAST00000000.1,O26:H11 Str. 2011C-3274,O26:H11 Str. 2011C-3274,1a,undefined,Homo sapiens (human),2011C-3274,O26:H11,undefined,undefined,undefined,United States
public_2847318,genbank: JMVG00000000.1,BIDMC 74,BIDMC 74,undefined,undefined,Homo sapiens (human),BIDMC 74,undefined,2013-01-01,Urine,undefined,"Boston, MA, USA"
public_2614130,genbank: AJWO00000000.1,KD1,KD1,undefined,undefined,Canis lupus familiaris (dog),KD1,undefined,2004-01-01,Colon,undefined,United States
public_2753442,genbank: AVSF00000000.1,B49-2,B49-2,1a,2a,Homo sapiens (human),B49-2,O157:H7,2002-01-01,undefined,undefined,"Washington, DC, USA"
public_2604732,genbank: AIFF00000000.1,DEC3B,DEC3B,1a,2a,Homo sapiens (human),DEC3B,O157:H7,1988-01-01,undefined,undefined,"Washington, DC, USA"
public_2852815,genbank: JNNB00000000.1,2-011-08_S3_C1,2-011-08_S3_C1,undefined,undefined,Homo sapiens (human),2-011-08_S3_C1,undefined,2009-04-23,Stool,undefined,Tanzania
public_2813767,genbank: JHKA00000000.1,O157:H7 Str. 2011EL-2313,O157:H7 Str. 2011EL-2313,undefined,undefined,undefined,2011EL-2313,O157:H7,undefined,undefined,undefined,United States
public_2856559,genbank: JNPB00000000.1,2-052-05_S4_C3,2-052-05_S4_C3,undefined,undefined,Homo sapiens (human),2-052-05_S4_C3,undefined,2009-07-15,Stool,undefined,Tanzania
public_2829517,genbank: JHNB00000000.1,O103:H25 Str. 2010C-4529,O103:H25 Str. 2010C-4529,1a,undefined,undefined,2010C-4529,O103:H25,undefined,undefined,undefined,United States
public_2641439,genbank: AKMO00000000.1,EC1734,EC1734,undefined,2a,Homo sapiens (human),EC1734,O157:H7,2009-01-01,undefined,undefined,United States
public_2878365,genbank: JORW00000000.1,7-233-03_S4_C2,7-233-03_S4_C2,undefined,undefined,Homo sapiens (human),7-233-03_S4_C2,undefined,2009-07-18,Stool,undefined,Tanzania
public_2613644,genbank: AJVX00000000.1,O26:H11 Str. CVM10026,O26:H11 Str. CVM10026,1a,undefined,Bos taurus (cow),CVM10026,O26:H11,1995-01-01,undefined,undefined,undefined
public_2652794,genbank: AMUC00000000.1,PA49,PA49,1a,2a,Homo sapiens (human),PA49,O157:H7,2008-01-01,undefined,undefined,United States
public_2646705,genbank: AMTM00000000.1,88.0221,88.0221,undefined,2a,Homo sapiens (human),88.0221,O157:H7,1988-01-01,undefined,undefined,Argentina
public_2688427,genbank: AOEJ00000000.1,PA19,PA19,undefined,undefined,Homo sapiens (human),PA19,O157:H7,2008-01-01,undefined,undefined,United States
public_2647128,genbank: AMTN00000000.1,8.0416,8.0416,undefined,2c,Environmental source,8.0416,O157:H7,2008-01-01,Meat-based food,undefined,United States
public_2609922,genbank: AJQW00000000.1,O32:H37 Str. P4,O32:H37 Str. P4,undefined,undefined,Bos taurus (cow),NCIMB:702070,O32:H37,undefined,Milk,Mastitis,United Kingdom
public_2689113,genbank: AOEO00000000.1,PA8,PA8,undefined,2a,Homo sapiens (human),PA8,O157:H7,2007-01-01,undefined,undefined,United States
public_2875023,genbank: JORA00000000.1,6-175-07_S3_C3,6-175-07_S3_C3,undefined,undefined,Homo sapiens (human),6-175-07_S3_C3,undefined,2009-04-15,Stool,undefined,Tanzania
public_2843233,genbank: JJOK00000000.1,O157:H7 Str. T1543_06,O157:H7 Str. T1543_06,undefined,undefined,Bos taurus (cow),T1543_06,O157:H7,2008-01-01,undefined,undefined,Sweden
public_2786421,genbank: AP010960.1,O111:H- Str. 11128,O111:H- Str. 11128,unassigned,2a,undefined,11128,O111:H-,undefined,undefined,undefined,undefined
public_2803980,genbank: JHHK00000000.1,O157:H7 Str. K7140,O157:H7 Str. K7140,1a,2a,undefined,K7140,O157:H7,undefined,undefined,undefined,United States
public_2807466,genbank: JHII00000000.1,O157:H7 Str. K5418,O157:H7 Str. K5418,undefined,2a,undefined,K5418,O157:H7,undefined,undefined,undefined,United States
